@relation titanic_real

@attribute Survived {0, 1}
@attribute Pclass numeric
@attribute Sex numeric
@attribute Age numeric
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Embarked {S,C,B,Q}

@data
0,3,0,42,0,0,7.11,S
0,3,0,13,0,2,20.05,S
0,3,0,16,1,1,20.05,S
1,3,1,39,1,1,20.05,S
1,3,1,16,0,0,7.13,S
1,3,0,25,0,0,7.13,S
0,2,0,30,1,0,24,C
1,2,1,28,1,0,24,C
1,3,0,27,0,0,18.1509,C
1,3,0,20,0,0,7.1806,S
0,3,0,30,0,0,7.05,S
0,3,0,27,0,0,8.01,S
0,3,1,40,1,0,9.0906,S
1,3,0,0.833333,0,1,9.07,S
1,3,1,18,0,1,9.07,S
0,2,0,35,0,0,13,S
0,3,0,25,0,0,7.1709,S
0,3,0,19,0,0,7.1806,S
0,3,0,24,0,0,7.01,S
0,3,0,25,0,0,7.01,S
1,1,1,29,0,0,211.6009,S
0,3,0,39,0,0,8.01,S
1,1,0,0.916667,1,2,151.16,S
0,1,1,2,1,2,151.16,S
0,1,0,30,1,2,151.16,S
0,1,1,25,1,2,151.16,S
0,3,0,18,0,0,8.06,S
0,3,0,19,0,0,7.0407,C
1,3,1,19,1,0,7.1701,S
0,3,0,33,0,0,22.1006,S
1,1,0,47,0,0,26.11,S
0,3,0,4,4,2,31.0506,S
0,3,1,6,4,2,31.0506,S
0,3,1,2,4,2,31.0506,S
1,3,1,16,4,2,7.1806,S
0,3,1,38,4,2,7.1506,S
0,3,1,9,4,2,31.0506,S
0,3,1,11,4,2,31.0506,S
0,3,0,39,1,5,31.0506,S
0,3,0,26,0,0,7.1506,S
0,3,1,39,1,5,31.0506,S
0,3,0,20,0,0,7.1701,S
0,2,0,17,0,0,11.1,S
0,2,0,27,0,0,10.1,S
1,1,1,62,1,0,77.1902,C
0,1,0,39,0,0,?,B
0,3,0,26,0,0,7.1711,S
1,2,1,36,1,0,26,S
0,2,0,31,1,0,26,S
1,1,1,53,2,0,51.0907,S
0,3,0,25,1,0,17.16,S
0,3,1,18,1,0,17.16,S
0,3,0,25,0,0,7.1506,S
0,1,0,71,0,0,49.1001,C
0,2,0,57,0,0,13,S
0,3,0,35,0,0,7.01,S
0,3,0,5,4,2,31.0709,S
0,3,0,9,4,2,31.0709,S
1,3,0,3,4,2,31.0709,S
0,3,0,13,4,2,31.0709,S
1,3,1,5,4,2,31.0709,S
0,3,0,40,1,5,31.0709,S
1,3,0,23,0,0,7.1511,S
1,3,1,38,1,5,31.0709,S
1,3,1,45,0,0,7.0406,C
0,3,0,23,0,0,7.01,S
0,1,0,47,1,0,247.1006,C
1,1,1,18,1,0,247.1006,C
0,3,1,17,0,0,14.0902,C
0,3,0,27,0,0,7.0406,C
1,1,1,24,0,0,69.06,C
0,3,0,23,0,0,7.1701,S
1,3,1,15,0,0,7.0407,C
0,3,0,32,1,0,15.17,S
1,3,1,33,3,0,15.17,S
1,3,1,3,2,1,19.0502,C
1,3,1,0.75,2,1,19.0502,C
1,3,1,5,2,1,19.0502,C
1,3,1,23,0,3,19.0502,C
1,3,1,18,0,0,8.01,S
0,3,0,40,0,0,7.0406,C
0,2,0,18,0,0,11.1,S
0,2,0,22,0,0,10.1,S
0,3,0,26,0,0,7.1711,S
1,2,1,36,0,0,13,S
0,2,0,28,0,0,10.1,S
1,3,1,31,0,0,8.1308,S
0,3,1,18,0,1,14.0901,C
0,3,1,45,0,1,14.0901,C
1,1,1,27,0,0,78.17,S
1,1,0,47,0,0,30,S
0,3,1,30,0,0,7.1707,Q
0,3,0,22,0,0,8.01,S
1,1,1,32,0,0,76.051,C
0,2,0,52,0,0,12.1006,S
0,3,0,23,0,0,7.1711,S
0,1,0,60,0,0,25.1806,C
0,1,0,24,0,1,247.1005,C
1,1,1,50,0,1,247.1005,C
1,2,0,32,1,0,26,S
1,2,1,22,1,0,26,S
0,1,0,36,0,0,75.041,S
0,2,0,44,0,0,26,S
0,3,0,20,0,0,8.01,S
1,2,0,1,2,1,39,S
1,2,1,4,2,1,39,S
1,2,1,12,2,1,39,S
1,2,1,35,0,3,39,S
1,1,0,37,1,1,52.1101,S
1,1,1,46,1,1,52.1101,S
1,2,0,34,0,0,13,S
1,1,0,26,0,0,30,C
0,3,0,26,0,0,7.1506,S
1,2,1,19,0,0,13,S
0,3,0,22,0,0,9.07,S
0,2,0,23,0,0,13,S
1,1,1,39,0,0,63.0702,C
1,1,1,46,0,0,247.1006,C
1,3,0,32,0,0,56.0911,S
1,1,1,31,0,0,221.1507,S
0,3,0,21,0,0,7.1506,S
0,1,0,24,0,0,26,C
1,1,0,25,1,0,91.0107,C
1,1,1,19,1,0,91.0107,C
0,3,0,18,0,0,7.15,S
1,1,0,28,0,0,26.11,S
0,1,0,45,0,0,35.1,S
1,1,0,39,0,0,31,C
1,1,1,30,0,0,164.1704,S
1,1,1,61,0,0,26.11,S
0,1,0,41,0,0,26.11,S
0,3,0,26,0,0,7.1711,S
0,2,0,25,0,0,13,S
0,3,1,40,0,2,7.15,Q
0,3,0,42,1,1,15.1,Q
0,3,1,32,1,1,15.1,Q
1,1,1,45,0,0,262.0706,C
0,3,0,26,0,0,16.02,S
0,2,0,42,0,0,13,S
1,1,1,22,0,1,55,S
0,2,0,30,0,0,13,S
1,3,1,22,0,0,7.1406,Q
0,1,0,41,0,0,30.1,S
0,3,1,20,0,0,7.1701,S
0,2,0,24,?,?,?,S
0,1,0,48,0,0,50.0911,C
0,3,0,29,1,0,7,S
0,3,0,23,1,0,7.05,S
1,1,0,37,0,0,26.11,S
0,1,0,46,0,0,39.12,C
0,2,0,20,?,?,?,S
0,2,0,32,0,0,13,S
0,3,0,22,0,0,7.1511,S
0,3,0,40,0,0,8.01,S
1,2,1,18,0,0,13,S
1,2,1,15,0,2,39,S
1,1,1,59,2,0,51.0907,S
1,2,1,40,1,1,39,S
1,1,1,44,0,0,27.1405,C
0,2,0,60,1,1,39,S
1,2,1,20,1,0,26,S
0,2,0,25,1,0,26,S
0,3,1,22,0,0,7.0508,Q
1,3,0,21,0,0,7.1517,Q
1,1,1,58,0,0,76.051,C
0,3,0,7,1,1,15.0411,C
0,3,1,10,1,1,15.0411,C
0,3,1,40,0,2,15.0411,C
0,3,0,19,0,0,6.15,Q
1,1,1,41,0,0,134.1,C
0,3,1,17,0,0,7.1707,Q
1,2,1,36,0,0,13,S
0,2,0,26,0,0,13,S
0,3,0,21,0,0,7.0407,C
0,1,0,46,0,0,26.11,S
0,2,0,42,0,0,13,S
1,2,1,40,0,0,13,S
0,3,1,21,0,0,8.1303,S
0,3,1,30,0,0,8.1303,S
0,3,0,18,0,0,8.1303,S
0,3,0,38,0,0,8.1303,S
0,1,0,28,0,0,31,S
1,1,0,42,0,0,26.0509,S
1,2,0,0.833333,0,2,29,S
1,2,0,26,1,1,29,S
1,2,1,28,1,1,29,S
0,3,0,17,0,0,8.1303,S
0,3,0,17,0,0,8.1303,S
1,2,1,35,0,0,21,S
0,2,0,21,0,0,?,B
0,3,1,22,0,0,7.15,Q
0,3,0,21,0,0,7.15,Q
1,1,1,52,0,0,27.0811,C
0,3,0,29,0,0,8.01,S
0,3,0,28,1,0,14.0902,C
0,3,1,18,1,0,14.0902,C
0,2,0,19,0,0,13,S
1,1,1,58,0,1,512.0607,C
1,1,0,36,0,1,512.0607,C
0,3,0,28,0,0,7.1511,S
0,3,0,24,0,0,7.1701,S
0,1,0,33,0,0,5,S
0,1,0,17,0,0,47.02,S
0,1,0,27,0,0,47.02,S
0,3,1,45,0,0,7.15,Q
0,2,0,54,1,0,26,S
1,1,0,11,1,2,120,S
1,1,1,13,1,2,120,S
0,2,1,45,1,0,26,S
1,1,1,36,1,2,120,S
1,1,0,36,1,2,120,S
0,3,0,28,0,0,7.05,S
0,1,0,49,0,0,26,S
1,1,1,36,0,0,27.1405,C
1,1,1,25,1,0,78.17,S
0,1,0,36,1,0,78.17,S
0,3,0,24,0,0,8.01,S
0,1,0,46,1,0,61.0306,S
1,1,1,47,1,0,61.0306,S
1,1,0,27,1,0,53.02,S
1,1,1,32,1,0,53.02,S
0,2,0,52,0,0,13.1,S
0,2,0,37,1,0,26,S
0,2,1,29,1,0,26,S
0,3,0,20,0,0,7.1408,Q
1,1,1,36,0,0,262.0706,C
1,1,1,30,0,0,86.1,S
1,1,0,45,0,0,29.14,C
1,1,1,48,0,1,55,S
1,3,0,32,0,0,56.0911,S
0,1,0,43,0,0,?,B
0,3,0,29,0,0,8.01,S
1,2,1,25,1,1,30,S
1,2,1,52,0,2,30,S
0,3,0,26,1,0,14.0901,C
0,3,0,21,1,0,14.0901,C
0,2,0,29,1,0,26,S
0,2,0,28,?,?,?,S
1,2,1,28,1,0,27,S
1,1,1,26,1,0,136.1507,C
0,1,0,27,1,0,136.1507,C
1,1,1,22,0,0,151.16,S
0,1,0,40,0,0,52,S
0,3,0,20,0,0,7.01,S
1,3,0,18,0,0,8.01,S
0,3,0,24,0,0,7.05,Q
0,3,0,24,0,0,7.1711,S
0,2,0,29,0,0,10.1,S
0,2,0,27,0,0,13,S
1,2,0,25,0,0,10.1,S
0,1,0,37,0,0,25.1109,S
1,2,1,8,0,2,26.05,S
0,2,0,31,1,1,26.05,S
1,2,1,30,1,1,26.05,S
0,3,0,36,0,0,7.1711,S
1,1,1,39,1,1,83.0302,C
0,1,0,37,1,1,83.0302,C
1,1,1,64,0,2,83.0302,C
0,3,0,31,0,0,7.1408,Q
0,3,0,40,0,0,7.15,Q
1,3,1,23,0,0,7.15,Q
0,3,1,41,0,0,7.1207,Q
0,3,0,66,0,0,7.15,Q
0,3,0,43,0,0,8.01,S
1,2,1,22,0,0,10.1,S
0,2,1,30,0,0,13,S
0,2,1,32,0,0,21,S
0,3,0,35,0,0,7.1711,S
0,3,0,27,0,0,7.1711,S
0,3,0,19,0,0,7.1711,S
0,3,0,30,0,0,8.01,S
1,1,1,55,2,0,25.141,S
1,3,1,16,0,0,7.15,Q
0,2,0,21,0,0,11.1,S
1,3,0,3,1,1,15.18,S
1,3,0,9,1,1,15.18,S
1,3,1,36,0,2,15.18,S
0,3,0,58,0,0,7.05,S
0,1,0,59,0,0,26.11,S
0,3,0,20,0,0,8.0302,S
1,3,1,16,0,1,16.02,S
0,3,0,43,0,1,16.02,S
0,1,0,70,1,1,71,S
1,1,1,39,0,2,26.11,S
1,1,1,64,1,1,71,S
0,3,0,17,0,0,8.1303,S
0,1,0,39,1,0,71.0508,C
1,1,1,35,1,0,71.0508,C
0,2,0,22,0,0,?,B
0,3,0,28,0,0,7.0407,C
0,3,1,22,0,0,10.1004,S
1,3,0,45,0,0,8.01,S
0,3,0,19,0,0,10.0305,S
1,3,1,33,0,0,6.19,Q
1,3,0,29,0,0,7.15,Q
1,1,0,51,0,0,26.11,S
0,3,0,0.333333,0,2,14.08,S
0,3,0,34,1,1,14.08,S
0,3,1,28,1,1,14.08,S
1,1,0,27,0,0,30.1,S
1,1,1,36,0,0,151.16,S
0,3,0,27,0,0,7.1711,S
1,1,1,27,1,2,52,C
0,1,0,31,1,0,52,C
1,2,0,8,1,1,36.15,S
0,3,0,24,2,0,24.03,S
0,2,0,19,0,0,73.1,S
0,3,0,22,0,0,8.01,S
0,3,0,22,2,0,24.03,S
0,3,0,17,2,0,8.01,S
1,2,1,48,0,2,36.15,S
1,2,1,28,0,0,13,S
1,3,1,34,1,0,16.02,S
0,3,0,32,1,0,16.02,S
0,2,0,18,0,0,73.1,S
1,3,0,1,1,2,20.1106,S
1,3,1,0.166667,1,2,20.1106,S
0,3,0,25,1,2,20.1106,S
1,3,1,32,1,2,20.1106,S
0,3,0,25,0,0,7.1711,S
1,2,1,24,1,0,27.1405,C
0,2,0,29,1,0,27.1405,C
1,3,0,36,1,0,17.08,S
1,3,1,36,1,0,17.08,S
1,3,0,30,0,0,9.1,S
0,2,0,25,0,0,31.1,S
0,3,0,30,0,0,7.1711,S
0,3,0,22,0,0,7.05,S
0,3,0,26,0,0,7.05,S
0,3,0,16,0,0,9.1,S
1,3,1,19,0,0,7.1707,Q
0,2,0,18,0,0,73.1,S
1,1,0,31,1,0,57,S
1,1,1,17,1,0,57,S
0,3,0,17,0,0,7.1711,S
0,3,0,42,0,0,8.1303,S
0,3,0,43,0,0,7.1711,S
1,1,0,52,1,1,81.1702,S
1,1,0,4,0,2,81.1702,S
1,1,1,34,1,1,81.1702,S
1,2,1,18,0,1,23,S
1,2,1,34,0,1,23,S
0,3,1,21,0,0,7.15,Q
0,3,0,37,0,0,7.15,Q
1,3,0,18,0,0,8.01,S
0,3,0,22,0,0,8.0902,Q
1,1,1,48,1,0,106.0806,C
1,1,1,27,1,1,247.1005,C
0,1,0,50,1,0,106.0806,C
0,2,0,55,0,0,26,S
1,3,1,31,0,0,12.0906,S
0,3,1,28,0,0,7.15,Q
0,3,0,33,0,0,7.1711,C
1,2,0,8,0,2,32.1,S
0,2,0,42,1,1,32.1,S
1,2,1,34,1,1,32.1,S
1,3,1,27,0,0,7.15,Q
1,3,1,24,0,0,8.01,S
1,1,1,48,1,0,56.1807,C
1,1,0,49,1,0,39.12,C
0,1,0,39,0,0,29.14,C
1,3,0,24,0,0,7.11,S
1,2,1,27,1,0,13.1702,C
1,2,1,30,1,0,13.1702,C
0,3,0,65,0,0,7.15,Q
0,3,0,23,1,0,13.18,S
1,3,1,22,1,0,13.18,S
1,1,1,23,0,1,83.0302,C
0,3,0,18,0,0,7.1506,S
0,2,0,25,0,0,13,S
0,3,0,16,0,0,7.1506,S
0,3,0,45,0,0,6.1906,S
0,3,0,29,0,0,7.0406,C
0,3,0,15,1,1,7.0407,C
0,3,0,22,1,1,7.0407,C
0,3,0,48,0,0,7.05,S
1,3,1,5,0,0,12.0906,S
0,2,0,21,0,0,13,S
1,1,1,39,0,0,247.1006,C
0,3,0,37,0,0,7.01,S
1,1,1,54,1,0,78.0504,C
0,1,1,36,0,0,31.1307,C
0,3,0,38,0,0,15.02,S
0,2,0,18,0,0,13,S
0,3,0,46,0,0,7.05,S
0,3,0,26,0,0,7.15,Q
0,1,0,49,0,0,221.1507,S
0,2,0,32,1,0,26,S
0,2,0,18,0,0,10.1,S
1,3,0,34,0,0,7.01,S
0,3,0,18,0,0,7.1511,S
1,1,1,48,0,0,31.1308,C
0,3,1,22,0,0,7.15,Q
1,1,1,42,0,0,110.1708,C
0,3,0,28,0,0,7.15,Q
0,3,0,48,0,0,6.19,Q
1,1,0,36,0,0,26.0509,S
0,3,0,19,0,0,7.1707,Q
0,3,0,20,0,0,7.15,Q
1,3,0,32,0,0,56.0911,S
0,3,1,20,2,2,34.0706,S
0,3,1,7,2,2,34.0706,S
0,3,0,23,0,0,8.01,S
0,3,0,18,2,2,34.0706,S
0,3,1,54,1,3,34.0706,S
0,3,0,14,1,3,34.0706,S
0,1,0,30,0,0,27.15,S
1,1,1,24,3,2,263,S
1,1,1,28,3,2,263,S
1,1,1,23,3,2,263,S
0,1,0,19,3,2,263,S
0,1,0,64,1,4,263,S
1,1,1,60,1,4,263,S
0,3,0,28,0,0,7.15,Q
0,2,0,38,0,0,13,S
1,1,1,32,0,0,56.1807,C
0,1,0,37,0,0,26.11,S
1,1,0,49,2,0,133.13,S
1,1,0,43,1,0,27.1405,C
1,1,1,42,1,0,133.13,S
1,1,1,22,0,2,49.1,C
1,1,0,60,1,1,79.04,C
1,1,1,48,1,1,79.04,C
0,2,0,39,0,0,?,B
0,1,0,39,0,0,?,S
0,2,1,38,0,0,13,S
0,1,0,37,1,0,53.02,S
1,1,1,35,1,0,53.02,S
0,2,0,36,0,0,26,S
0,2,0,38,1,0,21,S
0,2,0,33,1,0,21,S
0,3,0,29,0,0,7.141,Q
0,3,0,23,0,0,14.1,S
1,2,1,39,0,0,13,S
0,2,0,19,0,0,26,S
0,2,0,26,0,0,10.1,S
0,1,0,47,0,0,38.1,S
1,3,1,38,0,0,7.0407,C
0,3,0,21,0,0,7.0406,C
0,3,0,?,0,0,7.1711,C
1,1,1,22,0,1,59.08,C
1,1,1,44,0,1,59.08,C
1,1,1,35,0,0,211.1,S
0,1,0,23,0,0,79.04,C
0,2,0,47,0,0,10.1,S
0,2,0,19,1,0,11.1,S
0,2,0,21,1,0,11.1,S
0,2,0,24,0,0,13.1,S
0,3,0,23,0,0,8.01,S
0,2,0,31,0,0,13,S
0,2,0,24,0,0,13,S
1,3,1,17,0,0,7.1408,Q
0,2,0,30,0,0,13,S
1,3,1,18,0,0,7.15,Q
1,1,0,47,1,0,89.0201,C
1,1,1,40,1,0,89.0201,C
0,1,0,71,0,0,34.1301,C
1,3,0,9,0,2,20.1006,S
0,3,0,33,1,1,20.1006,S
0,3,0,41,0,0,7.17,S
1,3,1,31,1,1,20.1006,S
0,3,0,9,5,2,46.18,S
0,3,0,1,5,2,46.18,S
0,3,0,11,5,2,46.18,S
0,3,1,10,5,2,46.18,S
0,3,1,16,5,2,46.18,S
0,3,0,14,5,2,46.18,S
0,3,0,42,1,6,46.18,S
0,3,1,43,1,6,46.18,S
1,1,0,53,0,0,28.1,S
1,1,1,19,0,0,153.0903,S
0,1,0,38,0,1,30,S
1,1,1,59,0,1,153.0903,S
0,2,0,52,0,0,13,S
1,1,1,45,0,1,63.0702,C
1,1,0,23,0,1,63.0702,C
0,?,0,20,?,?,?,S
0,3,0,41,0,0,8.01,S
0,3,0,32,0,0,8.0615,S
0,3,0,25,0,0,8.01,S
0,1,0,46,0,0,79.04,C
0,3,0,19,0,0,9.1611,S
0,3,0,37,2,0,7.1806,S
0,3,0,28,2,0,7.1806,S
0,3,0,19,0,0,7.1506,S
0,3,1,24,0,0,8.17,S
0,3,0,28,1,0,6.1904,S
0,3,0,19,1,0,6.1904,S
0,3,0,28,1,0,15.17,S
1,3,1,24,1,0,15.17,S
0,2,0,30,0,0,13,S
1,2,0,0.583333,1,1,14.1,S
1,2,1,23,0,2,14.1,S
0,3,0,19,0,0,9.1,S
1,3,0,27,0,0,7.0407,C
0,3,0,18,0,0,7.0406,C
0,3,0,35,0,0,7.0407,C
0,3,0,41,2,0,14.0202,S
0,3,0,26,1,0,7.1701,S
0,3,0,21,0,0,7.1701,S
1,3,1,45,1,0,14.0202,S
0,2,0,45,0,0,13,S
1,1,0,25,1,0,55.081,C
1,1,1,21,1,0,55.081,C
0,3,1,17,0,0,7.1408,Q
0,3,1,21,0,0,7.11,S
1,2,1,6,0,1,33,S
1,1,0,48,1,0,76.1407,C
1,1,1,49,1,0,76.1407,C
0,2,0,39,0,1,33,S
0,1,0,37,0,0,42.08,S
1,2,0,62,0,0,10.1,S
0,1,0,45,1,0,83.0906,S
1,1,1,35,1,0,83.0906,S
0,2,0,45,0,0,10.1,S
0,1,0,46,0,0,?,S
0,2,0,33,?,?,?,S
1,2,1,7,0,2,26.05,S
0,2,0,47,1,1,26.05,S
0,3,0,29,0,0,6.1702,Q
1,2,1,48,1,1,26.05,S
1,1,0,27,0,0,76.1407,C
1,1,0,45,0,0,30,S
1,1,1,24,0,0,83.0302,C
0,1,0,55,1,1,93.1,S
1,1,1,52,1,1,93.1,S
0,1,0,42,0,0,42.1,S
1,3,1,33,0,0,7.15,Q
1,3,0,27,0,0,6.1906,S
1,3,0,24,0,0,56.0911,S
0,3,1,20,0,0,6.15,Q
1,3,1,16,0,0,7.1806,S
0,3,1,23,0,0,7.1806,S
1,3,1,22,0,0,8.1903,S
0,3,0,30,0,0,7.1711,S
0,3,1,28,0,0,7.1506,S
0,3,1,21,0,0,7.15,Q
1,2,1,24,1,2,65,S
1,2,1,24,1,2,65,S
0,2,0,50,1,2,65,S
